wallet_address,behavioral_score,risk_score,consistency_score,health_score,bot_probability,credit_score,total_transactions,liquidation_count
0x02d86f9846faff28378cbfb438e2f9a87b5e7682,66.49980669366886,90.45658900167537,92.70879419745114,94.94252873563218,0.0,834,58,0
0x011e6bf0b2fccc01f137cfe776e1b1121f31fbaa,69.85615942401802,89.33868010544873,91.31956901827083,91.84451219512195,0.0,834,82,0
0x00eddd42021ba97a37097ad4286b893b206e12bc,67.7859302352364,87.30714591098466,86.77385281385281,100.0,0.0,829,55,0
0x023f57cc43fb63b4d6d5a18f8f656d828c40e489,66.94626090534067,87.79304479878658,92.78674113069351,94.04411764705883,0.0,827,51,0
0x03922322741e50ee5a589aedc9fc7ed74a3e1e32,70.62515632252698,92.86058375438623,91.84301919693789,79.3103448275862,0.0,822,58,0
0x0070bc9033adf1e49517f98304f41f778d370208,64.15931634572482,88.02830143558366,88.89751017875838,100.0,0.0,822,41,0
0x0051e6e6cde6392c01b4cf6b97d9f5c50ec9817c,63.51318238480975,86.08259901230645,90.02577094662801,100.0,0.0,818,42,0
0x05e5a3e89794434042d4b8e51853fe28353f3343,66.49470345509587,80.34969769215054,90.48874830604812,100.0,0.0,815,59,0
0x04fdac80b3ca0b9066bd275f176dc807e3908a8e,70.02320450514551,89.61146747313121,83.30441455096627,85.79545454545455,0.0,807,66,0
0x01eccdb2d737b7a41f7aa4ee4358be8304b15588,68.85379739872445,92.41746550284324,81.54898926395202,83.59693877551021,0.0,802,49,0
0x00707aa2eeff1ddb8b22bd1539f92818c9cb8a85,66.88382135404589,92.10700733464971,81.53141486970499,87.3076923076923,0.0,802,39,0
0x04e55a3ae9d3083544409b1bb9809f983f67fbdf,54.36017014441633,90.60827039007343,93.48523074629092,98.0,0.0,800,18,0
0x019b00a4c8bf5a4a75d7be5a498f2d41e6bf41f2,65.28281190950915,84.19689219371793,89.79954013055354,90.68181818181819,0.0,800,44,0
0x0577ba0a9145afa894becc8f2387711fd48a6e04,62.94493313237187,86.21804901144253,81.83723025350932,100.0,0.0,800,37,0
0x0214c5c41f5249166aab9a12213ac0e2119d2cc8,68.28223162869054,86.33188711354674,73.41376102261233,98.57142857142857,0.0,799,42,0
0x00d6cad0eb8fe405b4c27ca2071b0d0653b9c2fc,62.46133018286775,89.77940319797143,89.94995659704739,86.96476964769647,0.0,797,41,0
0x021690c899ae56dbcf851ba0305659d39b557622,69.68890151422822,89.58150917051708,73.77332774166491,90.30075187969925,0.0,796,57,0
0x0281817134298991d74fb31dcb3efa1e936a4c25,66.3013993817492,89.41448795654794,87.70316604493277,82.06199460916442,0.0,795,53,0
0x02eb1d753bea18fd83562467a321dcd88d9773f1,62.32268341516743,88.7141302487209,87.89907141941892,89.0625,0.0,794,32,0
0x01eacf1d1ccf7f656fda1b95beafdb3c7fc396a7,69.96964548881115,86.8409722091746,91.60022126182915,74.15966386554621,0.0,794,63,0
0x047a1f7235a03aa9016061b16b54da901044fe0e,62.32523699877147,86.06408338665523,79.33947788619946,100.0,0.0,792,40,0
0x038f1867a56cad72bce4c0a462a3fd4e4a4b3dd1,57.53521194010568,91.74133017954033,80.18285557083907,100.0,0.0,791,25,0
0x02924ba1974a33fe4563a1f2b762847a2233d496,54.488740039532615,92.98767876924272,83.82015572367332,99.71428571428572,0.0,790,14,0
0x00778698bbc902543b596af6e7c0aa13b614162d,69.15135362012127,86.56327901093236,89.44253744165401,76.45833333333334,0.0,790,48,0
0x038ca2dcaf884d02dd1deae89bf23a7831fb1179,67.48372091719548,83.00904792471594,76.75114289022551,96.54255319148936,0.0,790,47,0
0x0092f6fe26d0c54f9e60326e8d93cf6770cdf494,59.76094439751492,93.83696700122543,91.60657235484821,81.11111111111111,0.0,789,27,0
0x02b42cadcb1d54d586d7b19c4b40ccb858d61640,68.73287142485096,89.48245240864145,71.94899817850637,90.13888888888889,0.0,788,54,0
0x049569adb8a1e8a9349e9f1111c7b7993a4612eb,68.0172280179985,84.84113191570631,82.53140721171411,85.9873949579832,0.0,787,68,0
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,59.65421884016307,89.24629121868294,94.06648233083979,83.54166666666667,0.0,787,32,0
0x03f8420b1754b086ed30543f071fbd8282c5fa84,66.45903097059181,86.9324170060638,89.39267527031741,79.0625,0.0,787,48,0
0x033185ecc07fe116859d5fc721802d724b85c4e7,55.934649639166,92.77980581640267,85.79904306220095,93.56140350877193,0.0,786,19,0
0x046b8f645b2a09f9527f191fbcb6491094668a45,67.63392037624908,83.86253102823292,90.26646697075664,79.4186046511628,0.0,786,86,0
0x0318ccfbfae5e2c06b2f533a35acecea13b9909f,67.16210533922121,89.72976417816643,82.66385706885244,80.27397260273972,0.0,785,73,0
0x02bee0a17903cc1f2f48b4514ec23aae547fe4a3,68.85142180665018,83.48484953291296,67.4269130870406,100.0,0.0,785,71,0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67.59758465175298,85.17048853371625,81.18406838851837,86.56716417910448,0.0,785,67,0
